,text,time,hashed_value
0,@nonquickoatmeal omg you're right. horrifying. delirium. wish you were coming on our weekend adventure!! ,,
1,Today ill go play some 360 because im sick ,,
2,25$ only gets me half a tank. ,,
3,Heading out to a work day with church peoples! Then will watch them play paintball; can't play myself due to herniated disc and stuffs ,,
4,Miranda reports after having 4 wisdom teeth removed yesterday: &quot;I ate some green tea ice cream in the early am. I couldn't sleep.  &quot;,,
5,"im soo freaking craving a good sandwich...or something, ive been craving to eat SOLID food instead of noodles all the time ",,
6, its 10 am nd i cant sleep any more nd no1 will wake up,,
7,I think i'm hungry again  - http://tweet.sg,,
8,@NaomiLovesJB_x Not in the mood to get ready ,,
9,Short run today - 1 mile in 9 min 30...  ,,
10,My bangs are all messed up. ,,
11,i miss you  http://plurk.com/p/13w4fg,,
12,twitter is in meltdown haha!  I don't want to follow U.S. sports and fashion freaks go away.  It won't even let me delete them! bah ,,
13,getting ready to paint my bathroom cabinets ,,
14,@kv same thoughts about pre. But its going to be near 30+k in india I guess ,,
15,I'm soooo shleeeeeeeeeepy ,,
16, tell kels i wish i was there ,,
17,"my leg is still hurt, ",,
18,Yoville's buggy today  Someone call an exterminator.,,
19,really dont wanna leave my class  we have so much fun together!!,,
20,is too hot  needs ice-cream =D,,
21,@DatMad how was the party I wanted to come unuh ,,
22,i miss my good friend. been a few days already. ,,
23,can't believe they blocked twitter from work too! ,,
24,"Lesson learned, no more all nighters when i have to work 430 to 130 ",,
25,Driving back home to dothan! Work this afternoon and ethics assignment  Bleh,,
26,I hate it when people yell  some things are just so unnecessary,,
27,http://bit.ly/HudH1  i wish i could sing  im listening to this instead of homework hah,,
28,im up waaaaay to Early ,,
29,@dtanton nah  I don't like iced coffee give me the real thing!,,
30,@iDeKay i love TACO bell aewesum as HECK but mom nevar taeks me there but once a month ,,
31,@faerieimp ur bb can wifi? Mine can't...  Keep updating then! ,,
32,Its FINALLY my day off!!! Yeah for me!!!!  It has been a long week.  Now to see what is wrong with my CAR???  ,,
33,HELP ME HELP ME HELP ME I am bored like hell ,,
34,@1iranian i'm sorry... i know that not everyone has twitter... i was just retwitting ,,
35,"Morning, wok eup too early ",,
36,Ohh m ge..eurgh cnt hear nething wiv all the drilling goin on opposite..too too loud! bring me some ear muffs argh! ,,
37,why won't my background change? ,,
38,boo for Blackberry having extra characters for texts. ,,
39,@T_Roguestar  This is why we can't have nice things,,
40,housework is calling ,,
41,Eh where is the sun gone???! ,,
42,GOOD MORNING FELLOW TWEETERS! packing for my trip to Panama City. Gotta million things to do today including a Bio exam  hope i finish up,,
43,"Yep now gotta fix a flat, my spare tire is flat ",,
44,Why does everyone feel that twitter is boring?  I am so going to change their mindset. HAHA.,,
45,Kid in class got my sn. Smh* it was Jo ,,
46,How did I reach 25 without a single best &quot;friend&quot; male or female? I have plenty of &quot;associates&quot; though. Clearly this isn't healthy. ,,
47,Cant wait to see my baby on tuesdayyy. . miss u   Xxxxxxx,,
48,floods in the Czech Rep. AGAIN ,,
49,Rolled my ankle at work last night. Don't know how well I'm going to do with training now.  http://dailymile.com/e/zHX,,
50,@mbd if we 5 are successful: 200 sadarses. If we are not: 5 sadarses ,,
51,Still looking for good news which is represent peace but i think they are really few ,,
52,"why did i choose MBA!!!! whats the point in doing 1 thing that everyone else is doing, i thought it didn't need brains  uaaaaaa",,
53,"I miss you , my honey  Come back......... please",,
54,awh am currently an insomniac I CNT SLEEEPP  need sick rest  tomrw is guna suckk,,
55,"@Emsparks i had to time to go buy one before dance either, and right now i cant be bothered to go to the shop as its to hot! ",,
56,Sick today  coding from the couch.,,
57,school  but last day =D,,
58,such sad news this morning...my thoughts and prayers are with my friend brian and his family ,,
59,such sad news this morning...my thoughts and prayers are with my friend brian and his family ,,
60,the weather is soooo great and IÂ´m sitting here in the office ,,
61,"@PLPhotography cool thats wzzup, damn u saw it already lol , I jealous.. shit tickets prob sold out this week ",,
62,Taking Grandma to chemo today. I hate hospitals. ,,
63,delaying the inevitable... Work in half an hour ,,
64,@KennyAshleyxoxo i need to know the same ... ,,
65,Too many people at the starbucks drive thru!!!!!!!!!!! Ahhhhhh! I guess coffee from the grungy old office coffee pot it is ,,
66,i guess ill go back to work...   ,,
67,Missing the boyfriend. ,,
68,I miss my hubby  gk ketemu 2 hari...hiks,,
69,@sivajayaraman please - I have stopped taking tea/coffee from the vending machine.  I drink a glass of hot water instead ,,
70,Sitting in traffic just crawling along I hate construction ,,
71,I can't wrinkle my nose anymore ,,
72,@purplerazberryy TY bff. i feel like i haven't seen U in months. hope U all have fun @ Ronnie's party.  i will take all the drunk dials!;D,,
73,wishes she was reading a novel instead of faking study for her exam tomorrow. Pretending to study is really exhausting. I'm so run-down ,,
74,Wants this pain to go away so I can go to YATEC. But I probably won't be able to go. Blah ,,
75,@missyelam But what would I do without my tv shows??? I'm addicted to Showtime. ,,
76,@velmalikevelvet Hmm...maybe it's best if you hold it (then I don't have to pack/unpack it!) but I want it NOW ,,
77,@whatcassiesaid i have barely even had energy to leave my bed let alone the house  it's kinda worrying me now,,
78,is at home watching Criminal Minds and then Las Vegas and then.... forced myself to sleep!! ,,
79,Going to the final Third year discipleship  then off to bowl and eat ice cream with the #GTAustin Staff the @GT20mobile Great day,,
80,back from school.. Hard day ,,
81,@bballgal_508 hey jules! i know uve prob texted me somewhere down the line... my phone's not working right now  r we still on for July 4??,,
82,And all the horses have small cuts on there hawks ,,
83,@avengedpunk GTS you mad woman!  i want you to feel better!,,
84,Is back to reality ,,
85,Working in College Park today 9-5. I hate new places ,,
86,"is jobhunting, it fucking sucks when you're in direct competition with 3 of your BFs...   ",,
87,So.screwed up getting the morning suits for my bros wedding  now alex and I will end up in spiderman costumes ( I kid J. Will get sorted),,
88,"@JustineCullen no he was the right one, he was the only one and as usual I screwed up, I think ive lost my bff also ",,
89,is bummed out.  http://plurk.com/p/13w58h,,
90,doesn't like dogs who chew on books.... ,,
91,feels guilty for lying.  this is y i dont lie.,,
92,It's only 10 and it's already SO hot. ,,
93,Afraid of what's gonna happen when Howard gets home. ,,
94,http://twitpic.com/8dcd0 - The leach field and septic tank debacle continues.   ,,
95,Wish I could change tags for past posts  #e2conf48 to #e2conf47,,
96,"Once again my debugger won't attach to a Silverlight process, and once again I have no idea why ",,
97,"i don't know, i'm so confused ",,
98,it feels like i'm coming down with something...  *away! away!*,,
99,"@catnip Oh, if I wasn't full of the lurg I'd bite your arm off for them - was lem &amp; didn't get any ",,
100,The results werent  good...waiting for more info ,,
