,text,time,hashed_value
0,@nonquickoatmeal omg you're right. horrifying. delirium. wish you were coming on our weekend adventure!! ,Sun May 21 20:15:51 2023,db81d114d73120642c7f9e54ff77ab13a21fc94fc713ae1c16aa68203154c021
1,Today ill go play some 360 because im sick ,Sun May 21 20:15:51 2023,27dc5863144294e9bc997355543f5dc700d370273c16bb6e67afd903a2a6fc37
2,25$ only gets me half a tank. ,Sun May 21 20:15:51 2023,5bcb69f15e0dcbd1e018f606a7502e69aed0dfd43d845e202a3014a658fcb723
3,Heading out to a work day with church peoples! Then will watch them play paintball; can't play myself due to herniated disc and stuffs ,Sun May 21 20:15:51 2023,beeefd19136e9d05e98cf4dbb6fe0e7e16af7e586ed7af756e7178bb5c94312a
4,Miranda reports after having 4 wisdom teeth removed yesterday: &quot;I ate some green tea ice cream in the early am. I couldn't sleep.  &quot;,Sun May 21 20:15:51 2023,c5fd703a3690c1bbd23cd3b31fefdd2b8cb95e22bb0b315e202941b76268d6da
5,"im soo freaking craving a good sandwich...or something, ive been craving to eat SOLID food instead of noodles all the time ",Sun May 21 20:15:51 2023,7d6387a136694122210364d2d83049f63999198bfd7a430337c613d5fee178e0
6, its 10 am nd i cant sleep any more nd no1 will wake up,Sun May 21 20:15:51 2023,ba84dae8a6bb36775e6e217995804f304ca847ab3b4e7d8fd233257c9eb545e2
7,I think i'm hungry again  - http://tweet.sg,Sun May 21 20:15:51 2023,5cc957cf971c8966c412fe413e1a1115423e0027eca966aa1ea620ae3aca90eb
8,@NaomiLovesJB_x Not in the mood to get ready ,Sun May 21 20:15:51 2023,4876773e3ae15406b3ceff3bbfc63f32909c500392055aa3f076d1dc6f68b86b
9,Short run today - 1 mile in 9 min 30...  ,Sun May 21 20:15:51 2023,c46a9ca5999810a56471f6c0b8c0692fe1b6989779847a7dcbf6e3c0013121ff
10,My bangs are all messed up. ,Sun May 21 20:15:51 2023,f17a01323235da755fee165ad7fa04134625dc4cf88ce020dea89688c6a0a5ff
11,i miss you  http://plurk.com/p/13w4fg,Sun May 21 20:15:51 2023,af5ffdcaa79e4cad60229cf93974fc4d0510b577a5ea9f82679791502f4f4635
12,twitter is in meltdown haha!  I don't want to follow U.S. sports and fashion freaks go away.  It won't even let me delete them! bah ,Sun May 21 20:15:51 2023,2e1b0ec845d8e8b6e9811fe1e3f97c1ef55c26575f7aacec6ae356a4d47f784f
13,getting ready to paint my bathroom cabinets ,Sun May 21 20:15:51 2023,55d6b62d0d91e936dab4aafc550224e91ad2ea5294ec4e4aa8712e44007ba7ac
14,@kv same thoughts about pre. But its going to be near 30+k in india I guess ,Sun May 21 20:15:51 2023,549a3766d6fb10a58fc328b6606f146ef10a26afc02d220efa9a40f3e50c1170
15,I'm soooo shleeeeeeeeeepy ,Sun May 21 20:15:51 2023,2950b00926aebc7c53beb2a63467d305795fb15e4f3cf91e7e4720815549c3ed
16,@dbowen57 tell kels i wish i was there ,Sun May 21 20:15:51 2023,955b94ce30e7116c6cba1cec5ab0f5c70de117713a3de6ac2dde6a9a0aaa5d4b
17,"my leg is still hurt, ",Sun May 21 20:15:51 2023,17b36844e4dabcc6029321828d2dc9e12e8aa580cefd08ec797f79459eca5647
18,Yoville's buggy today  Someone call an exterminator.,Sun May 21 20:15:51 2023,638e42035a36e43523200e98d8fa9ca72ea9c3e53fd6aa9bdc0c4fabd0eea906
19,really dont wanna leave my class  we have so much fun together!!,Sun May 21 20:15:51 2023,54733b35bd87cb409d5eb0f476fd9bfc9feed0fa043a073755e13843004138f6
20,is too hot  needs ice-cream =D,Sun May 21 20:15:51 2023,3fc69f1419f95a59e8776f57375da6720af009116a2df77f8a9f299239e007cd
21,@DatMad how was the party I wanted to come unuh ,Sun May 21 20:15:51 2023,ae3883787163b5cdd8cb001c0ccac28ab69191b79f955f70e5ea03197b6c60b0
22,i miss my good friend. been a few days already. ,Sun May 21 20:15:51 2023,c8c26e58b02eef6ea14ee097136e3cc2fba06744e143a25433da440cb71d1f00
23,can't believe they blocked twitter from work too! ,Sun May 21 20:15:51 2023,5fadd5519995a61a46416e8b72ce7acc816d90172d69932c77d2da8cd3106b14
24,"Lesson learned, no more all nighters when i have to work 430 to 130 ",Sun May 21 20:15:51 2023,16ebba3876eec9ddfb228ed2ba25d421ce4a915566afcbbb0aeec3dcd9c78538
25,Driving back home to dothan! Work this afternoon and ethics assignment  Bleh,Sun May 21 20:15:51 2023,bc43d3838d4487a037deb13953230c20d5b535e19f4b5a22881c1fc061f3d591
26,I hate it when people yell  some things are just so unnecessary,Sun May 21 20:15:51 2023,c8071a1e07599b3e6fc7d343c3caf4c4f87fb740ebdb5324fbfa428b585c1fbd
27,http://bit.ly/HudH1  i wish i could sing  im listening to this instead of homework hah,Sun May 21 20:15:51 2023,619786b14345be8aaf3bac44de72d47d0807e04779383e2f3b80a543fa03dfa9
28,im up waaaaay to Early ,Sun May 21 20:15:51 2023,c48322ce889c275791d7ac8c9c760e3295f1cc317921d70706faf85198802d5d
29,@dtanton nah  I don't like iced coffee give me the real thing!,Sun May 21 20:15:51 2023,7c4cecd67d58b78f35138e51f383da63574978658af65ab6b26630b13d56d3c9
30,@iDeKay i love TACO bell aewesum as HECK but mom nevar taeks me there but once a month ,Sun May 21 20:15:51 2023,9d319a88a14dee41068737423e1c720a2306f68933d198a7e48e476cc57bc192
31,@faerieimp ur bb can wifi? Mine can't...  Keep updating then! ,Sun May 21 20:15:51 2023,956daacfd80db9a7818d9552afc6e0b013142276e133021217766d9096161bc4
