,text,time,hashed_value
0,@nonquickoatmeal omg you're right. horrifying. delirium. wish you were coming on our weekend adventure!! ,,
1,Today ill go play some 360 because im sick ,,
2,25$ only gets me half a tank. ,,
3,Heading out to a work day with church peoples! Then will watch them play paintball; can't play myself due to herniated disc and stuffs ,,
4,Miranda reports after having 4 wisdom teeth removed yesterday: &quot;I ate some green tea ice cream in the early am. I couldn't sleep.  &quot;,,
5,"im soo freaking craving a good sandwich...or something, ive been craving to eat SOLID food instead of noodles all the time ",,
6, its 10 am nd i cant sleep any more nd no1 will wake up,,
7,I think i'm hungry again  - http://tweet.sg,,
8,@NaomiLovesJB_x Not in the mood to get ready ,,
9,Short run today - 1 mile in 9 min 30...  ,,
10,My bangs are all messed up. ,,
11,i miss you  http://plurk.com/p/13w4fg,,
12,twitter is in meltdown haha!  I don't want to follow U.S. sports and fashion freaks go away.  It won't even let me delete them! bah ,,
13,getting ready to paint my bathroom cabinets ,,
14,@kv same thoughts about pre. But its going to be near 30+k in india I guess ,,
15,I'm soooo shleeeeeeeeeepy ,,
16,@dbowen57 tell kels i wish i was there ,,
17,"my leg is still hurt, ",,
18,Yoville's buggy today  Someone call an exterminator.,,
19,really dont wanna leave my class  we have so much fun together!!,,
20,is too hot  needs ice-cream =D,,
21,@DatMad how was the party I wanted to come unuh ,,
22,i miss my good friend. been a few days already. ,,
23,can't believe they blocked twitter from work too! ,,
24,"Lesson learned, no more all nighters when i have to work 430 to 130 ",,
25,Driving back home to dothan! Work this afternoon and ethics assignment  Bleh,,
26,I hate it when people yell  some things are just so unnecessary,,
27,http://bit.ly/HudH1  i wish i could sing  im listening to this instead of homework hah,,
28,im up waaaaay to Early ,,
29,@dtanton nah  I don't like iced coffee give me the real thing!,,
30,@iDeKay i love TACO bell aewesum as HECK but mom nevar taeks me there but once a month ,,
31,@faerieimp ur bb can wifi? Mine can't...  Keep updating then! ,,
32,Its FINALLY my day off!!! Yeah for me!!!!  It has been a long week.  Now to see what is wrong with my CAR???  ,,
33,HELP ME HELP ME HELP ME I am bored like hell ,,
34,@1iranian i'm sorry... i know that not everyone has twitter... i was just retwitting ,,
35,"Morning, wok eup too early ",,
36,Ohh m ge..eurgh cnt hear nething wiv all the drilling goin on opposite..too too loud! bring me some ear muffs argh! ,,
37,why won't my background change? ,,
38,boo for Blackberry having extra characters for texts. ,,
39,@T_Roguestar  This is why we can't have nice things,,
40,housework is calling ,,
41,Eh where is the sun gone???! ,,
42,GOOD MORNING FELLOW TWEETERS! packing for my trip to Panama City. Gotta million things to do today including a Bio exam  hope i finish up,,
43,"Yep now gotta fix a flat, my spare tire is flat ",,
44,Why does everyone feel that twitter is boring?  I am so going to change their mindset. HAHA.,,
45,Kid in class got my sn. Smh* it was Jo ,,
46,How did I reach 25 without a single best &quot;friend&quot; male or female? I have plenty of &quot;associates&quot; though. Clearly this isn't healthy. ,,
47,Cant wait to see my baby on tuesdayyy. . miss u   Xxxxxxx,,
48,floods in the Czech Rep. AGAIN ,,
49,Rolled my ankle at work last night. Don't know how well I'm going to do with training now.  http://dailymile.com/e/zHX,,
50,@mbd if we 5 are successful: 200 sadarses. If we are not: 5 sadarses ,,
